kabupaten	segment	honda_2026	total_market_2026	market_share_2026_pct	honda_2025	total_market_2025	market_share_2025_pct	delta_pp	market_contribution_to_province_2026_pct	period	source_file	provenance
Tanjab Timur	AT High	487	1016	47.93307086614173	263	636	41.35220125786164	6.580869608280096	1.2853925760987828	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	AT Low	1139	1179	96.60729431721798	808	840	96.19047619047619	0.41681812674178786	1.4916120543508513	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	AT Mid	651	702	92.73504273504274	460	505	91.0891089108911	1.6459338241516406	0.8881354216745527	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	Cub High	14	86	16.27906976744186	7	50	14.000000000000002	2.279069767441859	0.10880291490599935	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	Cub Low	265	267	99.25093632958801	273	273	100.0	-0.7490636704119851	0.3377950962779282	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	Cub Mid	300	733	40.92769440654843	179	550	32.54545454545455	8.382239861093886	0.9273550770476455	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	Sport Low	20	20	100.0	20	20	100.0	0.0	0.025303003466511476	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tanjab Timur	Sport Mid	84	104	80.76923076923077	56	84	66.66666666666666	14.102564102564116	0.13157561802585965	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	ALL	7741	9343	82.85347318848336	5362	6339	84.5874743650418	-1.7340011765584364	11.820298069380836	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	AT High	1600	2784	57.47126436781609	685	1375	49.81818181818182	7.65308254963427	3.5221780825383973	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	AT Low	2575	2590	99.42084942084942	1958	1982	98.7891019172553	0.6317475035941271	3.276738948913236	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	AT Mid	1406	1494	94.10977242302543	968	1031	93.8894277400582	0.2203446829672373	1.890134358948407	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	Cub High	37	192	19.270833333333336	26	91	28.57142857142857	-9.300595238095234	0.24290883327851015	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	Cub Low	1042	1045	99.71291866028709	907	907	100.0	-0.2870813397129126	1.3220819311252245	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	Cub Mid	431	546	78.93772893772893	356	457	77.89934354485777	1.038385392871163	0.6907719946357632	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	Sport High	1	2	50.0	1	2	50.0	0.0	0.0025303003466511475	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	Sport Low	130	130	100.0	80	80	100.0	0.0	0.16446952253232458	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
Tebo	Sport Mid	519	560	92.67857142857143	381	414	92.02898550724638	0.6495859213250554	0.7084840970623213	YTD_JAN_JUN_2026	SINSEN_EVALPOLREG+MSPERKAB_JUN 2026.xlsx	Database Polreg 2026/2025 raw rows; K=All Kabupaten; J=9 Segment; H=Brand; G=Unit
