section	kabupaten_source	kecamatan	dealer_or_pos	ring_status	source_file	sheet	source_cell	currentness
Kota Jambi	JAMBI	JAMBI TIMUR	SSP Paal VI	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	T10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	SSP Wahidin	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	U10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JAMBI TIMUR	TDM Jambi	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	V10	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	CKIS I	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	C11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	CKIS II	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	D11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	DAM Jambi	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	E11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	HSO Jambi	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	F11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	MWP Rimbo	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	G11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	NSS Jambi	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	H11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	PAS JAMBI	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	I11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	POS DAM Chandra	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	J11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	POS DAM Mayang	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	K11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	POS HSO Liverpool	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	L11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	POS SSM Mayang	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	M11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	POS TDM Buluran	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	N11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	SM Talang Bakung	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	O11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	SSM Rawasari	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	P11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	SSM The Hok	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	Q11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	SSP Abunjani	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	R11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	SSP Handil	Lokasi	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	S11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	SSP Paal VI	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	T11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	SSP Wahidin	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	U11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	JELUTUNG	TDM Jambi	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	V11	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	KOTA BARU	CKIS I	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	C12	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	KOTA BARU	CKIS II	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	D12	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	KOTA BARU	DAM Jambi	Other	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	E12	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	KOTA BARU	HSO Jambi	Ring 2	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	F12	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	KOTA BARU	MWP Rimbo	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	G12	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	KOTA BARU	NSS Jambi	Ring 3	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	H12	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
Kota Jambi	JAMBI	KOTA BARU	PAS JAMBI	Ring 1	MAPPING RING 2022/Summary Pembagian Ring.xlsx	Ring	I12	HISTORICAL_2022_CURRENT_AUTHORITY_UNCONFIRMED
